title,author,length
Starry Montana Sky,Debra Holland,9 hrs and 36 mins
Not One Inch,M.E. Sarotte,15 hrs and 54 mins
If We Break,Kathleen Buhle,9 hrs and 46 mins
Goodnight,Kelly Fox,8 hrs and 32 mins
"Older, Wiser, Witchier",Lily Harper Hart,7 hrs and 14 mins
Stalked by the Billionaire,Emma Bray,2 hrs and 12 mins
Rogue,"David J. VanBergen Jr.,K. L. Reinhart",10 hrs and 22 mins
Prince of L.A.,Patricia Logan,9 hrs and 19 mins
How to Eat Fried Worms,Thomas Rockwell,1 hr and 53 mins
Steal the Show,Michael Port,7 hrs and 38 mins
By Way of Deception,"Amir Tsarfati,Steve Yohn",10 hrs
Gung Ho!,"Sheldon Bowles,Ken Blanchard",1 hr and 33 mins
"Diary of an 8 Bit Warrior Collection, Books 4-6",Cube Kid,11 hrs and 50 mins
And There He Kept Her,Joshua Moehling,9 hrs and 28 mins
The Real Diana,Lady Colin Campbell,15 hrs and 50 mins
Competing Against Luck,"Clayton M. Christensen,Taddy Hall",7 hrs and 25 mins
"If I Understood You, Would I Have This Look on My Face?",Alan Alda,6 hrs and 13 mins
No Love Lost,LynDee Walker,10 hrs and 8 mins
Story,Robert McKee,6 hrs and 12 mins
The Rise of Theodore Roosevelt,Edmund Morris,26 hrs and 36 mins
Twisted Hate,Ana Huang,15 hrs
White Nights: The Complete Duet,"Anna Zaires,Charmaine Pauls",19 hrs and 31 mins
An Act of Foul Play,T E Kinsey,9 hrs
ADHD Raising Emotionally Intelligent Kids,Alicia Miller,29 hrs and 2 mins
The Hating Game,Sally Thorne,12 hrs and 18 mins
Make Your Bed,William H. McRaven,1 hr and 53 mins
My Family and Other Animals,Gerald Durrell,10 hrs and 17 mins
I Capture the Castle,Dodie Smith,12 hrs and 18 mins
Whiskey Master Class,"Lew Bryson,Bill Lumsden - foreword",7 hrs and 9 mins
Motivational Interviewing 101,"Sarah Rosenberg,Scientia Media Group",11 hrs and 4 mins
The Making of the Atomic Bomb,Richard Rhodes,37 hrs and 16 mins
Blackout,Erin Flanagan,9 hrs and 27 mins
Black Rose Kisses: The Complete Series,Eva Ashwood,30 hrs and 10 mins
A New Earth,Eckhart Tolle,9 hrs and 12 mins
Dirty Wicked Prince,Eden O'Neill,8 hrs and 51 mins
MCAT Audio Crash Course,AudioLearn Content Team,57 hrs and 56 mins
Khaos,Jeremy Robinson,Not Yet Known
Death of a Laird,"R. W. Green,M. C. Beaton",1 hr and 26 mins
We’ll Always Have Summer,Jenny Han,6 hrs and 3 mins
The Diamond Eye,Kate Quinn,12 hrs and 51 mins
The Anatomy of Peace (Fourth Edition),The Arbinger Institute,7 hrs and 39 mins
The Warrior,Stephen Aryan,13 hrs and 19 mins
Mindreader,David J. Lieberman,6 hrs and 33 mins
How to Get Paid for What You Know,Graham Cochrane,6 hrs and 12 mins
The Boys,Katie Hafner,7 hrs and 19 mins
The Island,Adrian McKinty,8 hrs and 56 mins
The Fault in Our Stars,John Green,7 hrs and 11 mins
Scarred,Emily McIntire,10 hrs and 38 mins
The Oleander Sword,Tasha Suri,19 hrs and 8 mins
Business Is Personal,Bethenny Frankel,6 hrs and 59 mins
Insanely Simple,Ken Segall,7 hrs and 5 mins
The Real Diana,Lady Colin Campbell,15 hrs and 50 mins
"Diary of an 8 Bit Warrior Collection, Books 4-6",Cube Kid,11 hrs and 50 mins
And There He Kept Her,Joshua Moehling,9 hrs and 28 mins
"If I Understood You, Would I Have This Look on My Face?",Alan Alda,6 hrs and 13 mins
Competing Against Luck,"Clayton M. Christensen,Taddy Hall",7 hrs and 25 mins
I Capture the Castle,Dodie Smith,12 hrs and 18 mins
No Love Lost,LynDee Walker,10 hrs and 8 mins
The 5 Second Rule,Mel Robbins,7 hrs and 35 mins
Story,Robert McKee,6 hrs and 12 mins
The Gift of Therapy,Irvin D. Yalom,7 hrs and 39 mins
Into the Water,Paula Hawkins,11 hrs and 32 mins
White Nights: The Complete Duet,"Anna Zaires,Charmaine Pauls",19 hrs and 31 mins
An Act of Foul Play,T E Kinsey,9 hrs
ADHD Raising Emotionally Intelligent Kids,Alicia Miller,29 hrs and 2 mins
The Partner Track,Helen Wan,9 hrs and 53 mins
Make Your Bed,William H. McRaven,1 hr and 53 mins
The Book Thief,Markus Zusak,13 hrs and 56 mins
My Family and Other Animals,Gerald Durrell,10 hrs and 17 mins
The Book of Awakening,Mark Nepo,17 hrs and 26 mins
Total Recall,Arnold Schwarzenegger,23 hrs and 21 mins
The Inevitable,Kevin Kelly,11 hrs and 30 mins
Playing to Win,"Roger L. Martin,A.G. Lafley",7 hrs and 9 mins
Vagus Nerve Exercises to Rewire Your Brain,Susan Baxter,14 hrs and 52 mins
Talyn: Rebirth,Benjamin Medrano,10 hrs and 55 mins
Battling the Big Lie,Dan Pfeiffer,7 hrs and 33 mins
Hope in the Dark,Rebecca Solnit,5 hrs and 36 mins
Why Am I So Anxious?,Tracey Marks,9 hrs and 52 mins
Resolute,Jack Campbell,10 hrs and 39 mins
The Surrendered Wife,Laura Doyle,1 hr and 7 mins
Breaking Cover,Kaje Harper,9 hrs and 46 mins
Soul Taken,Patricia Briggs,10 hrs and 33 mins
Mother of Learning Arc 3,"nobody103,Domagoj Kurmaic",27 hrs and 12 mins
Confidence Man,Maggie Haberman,Not Yet Known
You Are Mine,Jenika Snow,8 hrs and 5 mins
Blue Dawn,Blaine L. Pardoe,13 hrs and 33 mins
Jane of Lantern Hill,L.M. Montgomery,8 hrs and 1 min
A Really Good Day,Ayelet Waldman,7 hrs and 37 mins
Deep Work,Cal Newport,7 hrs and 44 mins
Rework,"Jason Fried,David Heinemeier Hansson",2 hrs and 50 mins
Dreamland,Sam Quinones,14 hrs and 15 mins
Bone Deep,"Charles Bosworth,Joel Schwartz",11 hrs and 20 mins
Left on Tenth,Delia Ephron,7 hrs and 39 mins
21st Century Monetary Policy,Ben S. Bernanke,16 hrs and 4 mins
La inteligencia emocional [Emotional Inteligence],Daniel Goleman,15 hrs and 6 mins
"Tomorrow, and Tomorrow, and Tomorrow",Gabrielle Zevin,13 hrs and 52 mins
Crank,Ellen Hopkins,4 hrs and 31 mins
Jake's Magical Market,J.R. Mathews,20 hrs and 41 mins
Queenology,R. C. Blakes Jr.,3 hrs and 59 mins
Building a Second Brain,Tiago Forte,7 hrs and 20 mins
Existential Physics,Sabine Hossenfelder,8 hrs and 7 mins
Winning the Week,"Carey Bentley,Demir Bentley",5 hrs and 20 mins
Sons of Valor II: Violence of Action,"Brian Andrews,Jeffrey Wilson",12 hrs and 34 mins
Life 3.0,Max Tegmark,13 hrs and 29 mins
Playing to Win,"Roger L. Martin,A.G. Lafley",7 hrs and 9 mins
Eleven Rings,"Phil Jackson,Hugh Delehanty",10 hrs and 27 mins
Total Recall,Arnold Schwarzenegger,23 hrs and 21 mins
The Shadow of the Wind,Carlos Ruiz Zafón,18 hrs and 5 mins
The Day the World Came to Town,Jim DeFede,6 hrs and 28 mins
The Inevitable,Kevin Kelly,11 hrs and 30 mins
"First, Break All the Rules","Marcus Buckingham,Gallup Press,Jim Harter - foreword",9 hrs and 51 mins
Vagus Nerve Exercises to Rewire Your Brain,Susan Baxter,14 hrs and 52 mins
The Witches,Roald Dahl,3 hrs and 44 mins
Talyn: Rebirth,Benjamin Medrano,10 hrs and 55 mins
Battling the Big Lie,Dan Pfeiffer,7 hrs and 33 mins
Hope in the Dark,Rebecca Solnit,5 hrs and 36 mins
Breaking Cover,Kaje Harper,9 hrs and 46 mins
Soul Taken,Patricia Briggs,10 hrs and 33 mins
Mother of Learning Arc 3,"nobody103,Domagoj Kurmaic",27 hrs and 12 mins
Ghost Boy,Martin Pistorius,7 hrs and 15 mins
You Are Mine,Jenika Snow,8 hrs and 5 mins
Blue Dawn,Blaine L. Pardoe,13 hrs and 33 mins
The Book of Five Rings,"Miyamoto Musashi,William Scott Wilson - translator",2 hrs and 41 mins
Jane of Lantern Hill,L.M. Montgomery,8 hrs and 1 min
Deep Work,Cal Newport,7 hrs and 44 mins
The Rational Optimist,Matt Ridley,13 hrs and 37 mins
Rework,"Jason Fried,David Heinemeier Hansson",2 hrs and 50 mins
Kristin Lavransdatter,"Sigrid Undset,Tiina Nunnally - translator",45 hrs
Created Equal,"Michael Pack,Mark Paoletta",10 hrs and 15 mins
Love + Work,Marcus Buckingham,6 hrs and 43 mins
Skill,David Greene,13 hrs and 49 mins
Extreme Ownership,"Jocko Willink,Leif Babin",9 hrs and 33 mins
Think and Grow Rich,Napoleon Hill,9 hrs and 35 mins
Unstoppable,R.L. Mathewson,14 hrs and 20 mins
Pack Darling: Part One,Lola Rock,9 hrs and 39 mins
Brain over Binge,Kathryn Hansen,9 hrs and 59 mins
The Cabin in the Woods,Sarah Alderson,8 hrs and 5 mins
A Gentle Reminder,Bianca Sparacino,2 hrs and 31 mins
Be Your Future Self Now,Dr. Benjamin Hardy,4 hrs and 2 mins
The Alienist,Caleb Carr,20 hrs
The Scourge Series: The Complete Trilogy,Tom Abrahams,27 hrs and 5 mins
The Art Whisperer,"Charlotte Elkins,Aaron Elkins",7 hrs and 44 mins
Love Lessons,Sarina Bowen,8 hrs and 11 mins
"The Silencer Series Box Set, Books 9-12",Mike Ryan,21 hrs and 16 mins
Rogue Goddess,C.J. Carella,14 hrs and 23 mins
Pandemia,Alex Berenson,11 hrs and 1 min
Monster Girl Safari 2,Roland Carlsson,6 hrs and 41 mins
The Stardust Thief,Chelsea Abdullah,15 hrs and 38 mins
Sickening,John Abramson,9 hrs and 17 mins
Global Reset,"Mark Hitchcock,Jeff Kinley",5 hrs and 4 mins
The Prince's Gambit,Christopher G. Nuttall,11 hrs and 39 mins
Fallen Empire,K. A. Tucker,7 hrs and 22 mins
Persians,Lloyd Llewellyn-Jones,18 hrs and 42 mins
The Score Takes Care of Itself,"Bill Walsh,Craig Walsh,Steve Jamison",10 hrs and 48 mins
An Astronaut's Guide to Life on Earth,Chris Hadfield,8 hrs and 45 mins
Kristin Lavransdatter,"Sigrid Undset,Tiina Nunnally - translator",45 hrs
Reasons to Stay Alive,Matt Haig,4 hrs and 13 mins
Over the Edge of the World,Laurence Bergreen,6 hrs and 13 mins
Ice and Monsters,Peter Nealen,11 hrs and 26 mins
Priest of Crowns,Peter McLean,16 hrs and 35 mins
How Not to Murder Your ADHD Kid,Sarah Templeton,4 hrs and 36 mins
Have It All,Kris Krohn,7 hrs and 4 mins
Fly Girl,Ann Hood,8 hrs and 11 mins
Christian Theology 3rd Edition,Millard J. Erickson,63 hrs
How Emotions Are Made,Lisa Feldman Barrett,14 hrs and 32 mins
Undisputed Truth,"Mike Tyson,Larry Sloman",20 hrs and 46 mins
Fooled by Randomness,Nassim Nicholas Taleb,10 hrs and 3 mins
Kill Streak,Curator Omega,14 hrs and 32 mins
Dead Sea Conspiracy,Jerry B. Jenkins,9 hrs and 52 mins
Everyday MAGIC,Mattie James,6 hrs and 39 mins
Down and Dirty,Mari Carr,7 hrs and 43 mins
Wild Irish Heart,Tricia O'Malley,6 hrs and 9 mins
Bronze Drum,Phong Nguyen,11 hrs and 22 mins
The Cost of Control,Sharon Hodde Miller,6 hrs and 52 mins
Soul in the Game,Vitaliy Katsenelson,10 hrs and 8 mins
Boom Town,Garrison Keillor,12 hrs and 22 mins
Psycho Shifters,Jasmine Mas,8 hrs and 57 mins
Amplify Your Influence,Rene Rodriguez,6 hrs and 18 mins
Clown in a Cornfield 2: Frendo Lives,Adam Cesare,10 hrs and 8 mins
The Broken Room,Peter Clines,10 hrs and 50 mins
"You, Happier",Daniel Amen,10 hrs and 23 mins
The Devil You Know,Elizabeth O'Roark,8 hrs and 38 mins
Who,"Geoff Smart,Randy Street",4 hrs and 47 mins
Love & Gelato,Jenna Evans Welch,8 hrs and 17 mins
Go for No!,"Richard Fenton,Andrea Waltz",1 hr and 33 mins
The Little Book of Hygge,Meik Wiking,3 hrs and 13 mins
The Sign of the Beaver,Elizabeth George Speare,3 hrs and 11 mins
Strange New World,"Carl R. Trueman,Ryan T. Anderson - foreword",5 hrs and 14 mins
Death of a Hollow Man,Caroline Graham,11 hrs and 10 mins
Lakeview House,Helen Phifer,7 hrs and 40 mins
The Prince's Gambit,Christopher G. Nuttall,11 hrs and 39 mins
Loving Dark Men,JA Huss,12 hrs and 27 mins
Fallen Empire,K. A. Tucker,7 hrs and 22 mins
Shadow Kissed,Veronica Douglas,10 hrs and 27 mins
The Score Takes Care of Itself,"Bill Walsh,Craig Walsh,Steve Jamison",10 hrs and 48 mins
An Astronaut's Guide to Life on Earth,Chris Hadfield,8 hrs and 45 mins
Reasons to Stay Alive,Matt Haig,4 hrs and 13 mins
Over the Edge of the World,Laurence Bergreen,6 hrs and 13 mins
War Against All Puerto Ricans,Nelson A. Denis,9 hrs and 9 mins
Mysteries of the Anointing,Benny Hinn,6 hrs and 15 mins
Priest of Crowns,Peter McLean,16 hrs and 35 mins
How Not to Murder Your ADHD Kid,Sarah Templeton,4 hrs and 36 mins
Have It All,Kris Krohn,7 hrs and 4 mins
Fly Girl,Ann Hood,8 hrs and 11 mins
Christian Theology 3rd Edition,Millard J. Erickson,63 hrs
The Mists of Avalon,Marion Zimmer Bradley,50 hrs and 53 mins
The Princess Bride,William Goldman,2 hrs and 32 mins
The Dance of Anger,Harriet Lerner,6 hrs and 50 mins
Kill Streak,Curator Omega,14 hrs and 32 mins
Dead Sea Conspiracy,Jerry B. Jenkins,9 hrs and 52 mins
Beautiful Villain,Piper Stone,9 hrs and 46 mins
Game Wizards,Jon Peterson,13 hrs and 38 mins
The Cost of Control,Sharon Hodde Miller,6 hrs and 52 mins
Soul in the Game,Vitaliy Katsenelson,10 hrs and 8 mins
Boom Town,Garrison Keillor,12 hrs and 22 mins
Psycho Shifters,Jasmine Mas,8 hrs and 57 mins
Amplify Your Influence,Rene Rodriguez,6 hrs and 18 mins
The End of the World Is Just the Beginning,Peter Zeihan,16 hrs and 44 mins
Clown in a Cornfield 2: Frendo Lives,Adam Cesare,10 hrs and 8 mins
The Broken Room,Peter Clines,10 hrs and 50 mins
The Devil You Know,Elizabeth O'Roark,8 hrs and 38 mins
Who,"Geoff Smart,Randy Street",4 hrs and 47 mins
First Blood,David Morrell,8 hrs and 26 mins
The Little Book of Hygge,Meik Wiking,3 hrs and 13 mins
The Sign of the Beaver,Elizabeth George Speare,3 hrs and 11 mins
Quarter to Midnight,Karen Rose,21 hrs and 41 mins
Death of a Hollow Man,Caroline Graham,11 hrs and 10 mins
Strange New World,"Carl R. Trueman,Ryan T. Anderson - foreword",5 hrs and 14 mins
How to Get Paid for What You Know,Graham Cochrane,6 hrs and 12 mins
Lakeview House,Helen Phifer,7 hrs and 40 mins
The Fault in Our Stars,John Green,7 hrs and 11 mins
The Island,Adrian McKinty,8 hrs and 56 mins
Just Keep Buying,Nick Maggiulli,6 hrs and 21 mins
English Literature in the Sixteenth Century (Excluding Drama),C. S. Lewis,25 hrs and 17 mins
A People's History of the United States,Howard Zinn,34 hrs and 8 mins
On Critical Race Theory,Victor Ray,4 hrs and 25 mins
The Dry,Jane Harper,10 hrs and 1 min
Alan Turing: The Enigma,Andrew Hodges,30 hrs and 40 mins
The Shining Girls,Lauren Beukes,10 hrs and 33 mins
The Yiddish Policemen's Union,Michael Chabon,12 hrs and 37 mins
The Glass Bead Game,Hermann Hesse,21 hrs and 17 mins
Punished by Rewards,Alfie Kohn,13 hrs and 9 mins
The Gangster's Guide to Sobriety,"Richie Stephens,John Altschuler,Dave Krinsky",4 hrs and 29 mins
Every Summer After,Carley Fortune,9 hrs and 38 mins
The Diamond Eye,Kate Quinn,12 hrs and 51 mins
Jose Silva's Everyday ESP,"Jose Silva Jr.,Ed Bernd Jr.",8 hrs and 22 mins
Soul Taken,Patricia Briggs,10 hrs and 33 mins
Mind Gym,"Gary Mack,David Casstevens",5 hrs and 27 mins
Do Not Leave Quietly,Mario Murillo,3 hrs and 32 mins
Let's Catch Up Soon,Sarah Cooper,6 hrs and 5 mins
Resistance,Halik Kochanski,46 hrs and 15 mins
Punk’s Wing,Ward Carroll,14 hrs and 3 mins
Dragon Spirit,Pedro Urvi,15 hrs and 8 mins
How Should We Then Live,Francis A. Schaeffer,7 hrs and 51 mins
The Swerve,Stephen Greenblatt,9 hrs and 41 mins
Small Giants,Bo Burlingham,10 hrs and 47 mins
Red Rising,Pierce Brown,16 hrs and 12 mins
A New Way to Think,Roger L. Martin,7 hrs and 58 mins
Taking Charge of Your Fertility,Toni Weschler,10 hrs and 30 mins
Mirrors in the Earth,Asia Suler,9 hrs and 36 mins
A Crown of Starlight,Linsey Hall,4 hrs and 36 mins
Blackstone Fortress: Ascension,Darius Hinks,11 hrs and 47 mins
Every Breath You Take,"Alafair Burke,Mary Higgins Clark",7 hrs and 19 mins
Platonic Rulebook,Saxon James,7 hrs and 2 mins
Reality Bleed: Season 2,"J.Z. Foster,Justin M. Woodward",23 hrs and 45 mins
Invisible Storm,Jason Kander,6 hrs and 47 mins
American Exception,Aaron Good,12 hrs and 48 mins
Confidence Man,Maggie Haberman,Not Yet Known
Motivational Interviewing 101,"Sarah Rosenberg,Scientia Media Group",11 hrs and 4 mins
Synthetic Biology: Life’s Extraordinary New Worlds,"Milton Muldrow Jr.,The Great Courses",8 hrs and 52 mins
Beyond Possible,Nims Purja,9 hrs and 42 mins
The Incredible Journey,Sheila Burnford,3 hrs and 7 mins
Skill with People,Les Giblin,31 mins
Rare Leadership,"Marcus Warner,Jim Wilder",6 hrs and 17 mins
Bloodline of the Gods,Nick Redfern,7 hrs and 38 mins
Never Cry Wolf,Farley Mowat,4 hrs and 51 mins
Self Mastery Through Conscious Autosuggestion,Emile Coué,3 hrs and 26 mins
How to Measure Anything,Douglas W. Hubbard,12 hrs and 40 mins
The End of Dieting,Joel Fuhrman,5 hrs and 57 mins
"Why We Buy, Updated and Revised Edition",Paco Underhill,12 hrs
Butcher’s Crossing,John Williams,10 hrs and 21 mins
Born in Death,J. D. Robb,11 hrs and 50 mins
Tell Yourself a Better Lie,Marisa Peer,8 hrs and 36 mins
We Don't Know Ourselves,Fintan O'Toole,22 hrs and 11 mins
Seven Years in Tibet,"Heinrich Harrer,Richard Graves",11 hrs and 38 mins
How the Scots Invented the Modern World,Arthur Herman,18 hrs and 20 mins
Iron Kingdom,Christopher Clark,28 hrs and 24 mins
Charlie Wilson's War,George Crile,20 hrs and 24 mins
The Diviners,Libba Bray,18 hrs and 14 mins
Deep Work,Cal Newport,7 hrs and 44 mins
Hyperion,Dan Simmons,20 hrs and 44 mins
The Greatest Salesman in the World,Og Mandino,2 hrs and 33 mins
Path Lit by Lightning,David Maraniss,23 hrs and 26 mins
The Librarian Spy,Madeline Martin,10 hrs and 30 mins
The Nurse,Claire Allan,9 hrs and 13 mins
The Women of Street Lit Omnibus: Volume 1,"Angel Santos,Aisha Hall,Jamila T. Davis,Sunshine Smith Williams,Reds Johnson",18 hrs and 52 mins
The Titan's Curse,Rick Riordan,8 hrs and 48 mins
Why Am I So Anxious?,Tracey Marks,9 hrs and 52 mins
The 36-Hour Day,"Nancy L. Mace,Peter V. Rabins",17 hrs and 24 mins
A Short History of Nearly Everything,Bill Bryson,18 hrs and 13 mins
The Last Mrs. Parrish,Liv Constantine,12 hrs
Black Cake,Charmaine Wilkerson,12 hrs and 2 mins
Redefining Realness,Janet Mock,8 hrs and 14 mins
The Surrendered Wife,Laura Doyle,1 hr and 7 mins
Everything About You,Jeanne St. James,9 hrs and 45 mins
Election,Tom Perrotta,4 hrs and 30 mins
The Sociopath Next Door,Martha Stout,7 hrs and 26 mins
The Best and the Brightest,David Halberstam,37 hrs and 4 mins
The Everything Store,Brad Stone,13 hrs
The Communist Manifesto,Karl Marx,1 hr and 34 mins
The Eagle of the Ninth,Rosemary Sutcliff,4 hrs and 32 mins
Beyond the Goal,Eliyahu M. Goldratt,5 hrs and 47 mins
The Undercover Economist,Tim Harford,10 hrs and 6 mins
Skill with People,Les Giblin,31 mins
This Is Where It Ends,Marieke Nijkamp,6 hrs and 18 mins
The Secrets of Power Negotiating,Roger Dawson,5 hrs and 3 mins
Discipline & Punish,Michel Foucault,13 hrs and 8 mins
Remember Love,Mary Balogh,12 hrs and 9 mins
The Gap and the Gain,"Dan Sullivan,Dr. Benjamin Hardy",5 hrs and 58 mins
Liarmouth: A Feel-Bad Romance,John Waters,6 hrs and 54 mins
No Bad Parts,"Richard C. Schwartz PhD,Alanis Morissette - foreword introduction",8 hrs and 10 mins
Out of the Corner,Jennifer Grey,11 hrs and 19 mins
"Oh, Great! I Discovered How to Cultivate a Farmer in 52 Easy Steps",Benjamin Kerei,15 hrs and 45 mins
The Narrator,K. L. Slater,8 hrs and 5 mins
The Sleepwalkers,Christopher Clark,24 hrs and 54 mins
The World of Yesterday,"Stefan Zweig,Anthea Bell - translator",17 hrs and 50 mins
Harriet the Spy (TV Tie-In Edition),Louise Fitzhugh,7 hrs and 6 mins
The Yearling,Marjorie Kinnan Rawlings,13 hrs and 58 mins
The Plot Against America,Philip Roth,13 hrs and 23 mins
The Snowman,"Jo Nesbø,Don Bartlett",15 hrs and 38 mins
The Eagle of the Ninth,Rosemary Sutcliff,4 hrs and 32 mins
Beyond the Goal,Eliyahu M. Goldratt,5 hrs and 47 mins
The Undercover Economist,Tim Harford,10 hrs and 6 mins
Skill with People,Les Giblin,31 mins
This Is Where It Ends,Marieke Nijkamp,6 hrs and 18 mins
The Secrets of Power Negotiating,Roger Dawson,5 hrs and 3 mins
Discipline & Punish,Michel Foucault,13 hrs and 8 mins
Remember Love,Mary Balogh,12 hrs and 9 mins
The Gap and the Gain,"Dan Sullivan,Dr. Benjamin Hardy",5 hrs and 58 mins
Liarmouth: A Feel-Bad Romance,John Waters,6 hrs and 54 mins
No Bad Parts,"Richard C. Schwartz PhD,Alanis Morissette - foreword introduction",8 hrs and 10 mins
Out of the Corner,Jennifer Grey,11 hrs and 19 mins
"Oh, Great! I Discovered How to Cultivate a Farmer in 52 Easy Steps",Benjamin Kerei,15 hrs and 45 mins
The Narrator,K. L. Slater,8 hrs and 5 mins
The Sleepwalkers,Christopher Clark,24 hrs and 54 mins
The World of Yesterday,"Stefan Zweig,Anthea Bell - translator",17 hrs and 50 mins
Harriet the Spy (TV Tie-In Edition),Louise Fitzhugh,7 hrs and 6 mins
The Yearling,Marjorie Kinnan Rawlings,13 hrs and 58 mins
The Plot Against America,Philip Roth,13 hrs and 23 mins
The Snowman,"Jo Nesbø,Don Bartlett",15 hrs and 38 mins
