title,author,length
Full,Julia Spiro,9 hrs and 13 mins
Zero Recall,Sara King,19 hrs and 20 mins
Revenge in the Roses,Dale Mayer,5 hrs and 41 mins
And Then There Were None,Agatha Christie,6 hrs and 1 min
Murder at the Priory Hotel,Merryn Allingham,7 hrs and 35 mins
The False Hero: Volume 5,Michael Plymel,12 hrs and 28 mins
Heartbreaker,Sarah MacLean,12 hrs and 16 mins
Black Dog,Stuart Woods,6 hrs and 16 mins
Dangerous Gamble,Daniel Schinhofen,12 hrs and 47 mins
Unforgivable,Natalie Barelli,9 hrs and 37 mins
The Words,Ashley Jade,16 hrs and 50 mins
"Boldly, Nobly, and Independent: 1893-1955",The Church of Jesus Christ of Latter-day Saints,16 hrs and 39 mins
Bonds of Blood,"J.N. Chaney,Terry Mixon",8 hrs and 16 mins
Wild Jasmine,Bertrice Small,20 hrs and 56 mins
Peanut Butter Panic,Amanda Flower,8 hrs and 46 mins
Husband Material,Alexis Hall,13 hrs and 35 mins
The Seventh Princess,D.C. Haenlien,12 hrs
The Dungeon Phoenix,Konrad Ryan,17 hrs and 9 mins
Take Your Breath Away,Linwood Barclay,10 hrs and 1 min
Shadowrun,Russell Zimmerman,8 hrs
WomanCode,Alisa Vitti,7 hrs and 49 mins
Twisted Hate,Ana Huang,15 hrs
Black Dog,Stuart Woods,6 hrs and 16 mins
Legends & Lattes,Travis Baldree,6 hrs and 22 mins
Unforgivable,Natalie Barelli,9 hrs and 37 mins
"Boldly, Nobly, and Independent: 1893-1955",The Church of Jesus Christ of Latter-day Saints,16 hrs and 39 mins
The Words,Ashley Jade,16 hrs and 50 mins
The Rational Male - The Players Handbook,Rollo Tomassi,12 hrs and 33 mins
Wild Jasmine,Bertrice Small,20 hrs and 56 mins
Elizabeth's Star,Rhonda Forrest,7 hrs and 56 mins
Peanut Butter Panic,Amanda Flower,8 hrs and 46 mins
Husband Material,Alexis Hall,13 hrs and 35 mins
Raising Emotionally Strong Boys,"David Thomas LMSW,Sissy Goff - foreword",5 hrs and 4 mins
The Dungeon Phoenix,Konrad Ryan,17 hrs and 9 mins
Reckoning,Catherine Coulter,11 hrs and 50 mins
Take Your Breath Away,Linwood Barclay,10 hrs and 1 min
Long Live the Pumpkin Queen,Shea Ernshaw,6 hrs and 28 mins
WomanCode,Alisa Vitti,7 hrs and 49 mins
"Bud, Not Buddy",Christopher Paul Curtis,5 hrs and 14 mins
A Really Good Day,Ayelet Waldman,7 hrs and 37 mins
My Story of Us: Thomas,"Smartypants Romance,Chris Brinkley",2 hrs and 8 mins
The Original Folk and Fairy Tales of the Brothers Grimm,"Jacob Grimm,Wilhelm Grimm,Jack Zipes - translator/editor",19 hrs and 14 mins
Heartstrings,Rachel Spangler,10 hrs and 8 mins
Forged in Steele,Susan Sleeman,10 hrs and 6 mins
American Kingpin,Nick Bilton,12 hrs and 14 mins
What She Found,Robert Dugoni,10 hrs and 1 min
The Dance of Anger,Harriet Lerner,6 hrs and 50 mins
Pre-Suasion,Robert B. Cialdini,9 hrs and 24 mins
Ghost,Jason Reynolds,3 hrs and 29 mins
Just Kids,Patti Smith,9 hrs and 50 mins
Leading Change,John P. Kotter,6 hrs and 34 mins
We Have Always Lived in the Castle,Shirley Jackson,5 hrs and 32 mins
Death in Yellowstone,Lee H. Whittlesey,13 hrs and 26 mins
The Ultimate Personal Power Classics Library,"Neville Goddard,George S. Clason,Niccolò Machiavelli",12 hrs and 22 mins
Flight Behavior,Barbara Kingsolver,16 hrs and 56 mins
Enemy of God,Bernard Cornwell,18 hrs and 11 mins
Legends & Lattes,Travis Baldree,6 hrs and 22 mins
Zero to One,"Peter Thiel,Blake Masters",4 hrs and 50 mins
The Miracle Morning,Hal Elrod,4 hrs and 57 mins
The Boys in the Boat,Daniel James Brown,14 hrs and 24 mins
The ONE Thing,"Gary Keller,Jay Papasan",5 hrs and 28 mins
The Energy Bus,Jon Gordon,2 hrs and 39 mins
Alexander Hamilton,Ron Chernow,35 hrs and 58 mins
Ikigai,"Héctor García,Francesc Miralles",3 hrs and 18 mins
Shogun,James Clavell,53 hrs and 33 mins
The Happiness Advantage,Shawn Achor,7 hrs and 19 mins
Secrets of the Millionaire Mind,T. Harv Eker,5 hrs and 10 mins
Slaughterhouse-Five,Kurt Vonnegut,5 hrs and 13 mins
Bossypants,Tina Fey,5 hrs and 32 mins
Being Mortal,Atul Gawande,9 hrs and 3 mins
The Seat of the Soul,Gary Zukav,10 hrs and 12 mins
The Hero with a Thousand Faces,Joseph Campbell,14 hrs and 37 mins
A Thousand Splendid Suns,Khaled Hosseini,11 hrs and 43 mins
Year of Yes,Shonda Rhimes,7 hrs and 4 mins
Napoleon,Andrew Roberts,32 hrs and 56 mins
Catch-22,Joseph Heller,19 hrs and 58 mins
Their Eyes Were Watching God,Zora Neale Hurston,6 hrs and 44 mins
Neuromancer,William Gibson,10 hrs and 31 mins
Shantaram,Gregory David Roberts,42 hrs and 59 mins
Red Notice,Bill Browder,14 hrs and 7 mins
Oh Crap! Potty Training,Jamie Glowacki,8 hrs and 4 mins
The Boys in the Boat,Daniel James Brown,14 hrs and 24 mins
The ONE Thing,"Gary Keller,Jay Papasan",5 hrs and 28 mins
The Energy Bus,Jon Gordon,2 hrs and 39 mins
Alexander Hamilton,Ron Chernow,35 hrs and 58 mins
Down the Rabbit Hole,Holly Madison,10 hrs and 51 mins
Secrets of the Millionaire Mind,T. Harv Eker,5 hrs and 10 mins
The Happiness Advantage,Shawn Achor,7 hrs and 19 mins
Slaughterhouse-Five,Kurt Vonnegut,5 hrs and 13 mins
Shogun,James Clavell,53 hrs and 33 mins
"The Case for Christ, Revised & Updated",Lee Strobel,10 hrs and 49 mins
Being Mortal,Atul Gawande,9 hrs and 3 mins
Bossypants,Tina Fey,5 hrs and 32 mins
Ikigai,"Héctor García,Francesc Miralles",3 hrs and 18 mins
The Hero with a Thousand Faces,Joseph Campbell,14 hrs and 37 mins
The Seat of the Soul,Gary Zukav,10 hrs and 12 mins
Catch-22,Joseph Heller,19 hrs and 58 mins
Year of Yes,Shonda Rhimes,7 hrs and 4 mins
Their Eyes Were Watching God,Zora Neale Hurston,6 hrs and 44 mins
A Thousand Splendid Suns,Khaled Hosseini,11 hrs and 43 mins
Napoleon,Andrew Roberts,32 hrs and 56 mins
On One Condition,K. Bromberg,8 hrs and 18 mins
How to Steal a Thief,AJ Sherwood,8 hrs and 14 mins
Wolf King,Lindsey Devin,10 hrs and 59 mins
Operation Pineapple Express,Scott Mann,10 hrs and 34 mins
Apocalypse Cultivator 3,Jack Bryce,7 hrs and 41 mins
Aurora: EV-01,Ryk Brown,8 hrs
Made to Stick,"Chip Heath,Dan Heath",8 hrs and 37 mins
The Big Short,Michael Lewis,9 hrs and 27 mins
Bold,Sean Feucht,5 hrs and 54 mins
Twisted Games,Ana Huang,13 hrs and 14 mins
The Common Sense Way,Pete Blaber,7 hrs and 53 mins
Hidden in Time,Sarah Woodbury,8 hrs and 31 mins
Rains of Liscor,pirateaba,33 hrs and 52 mins
Bad Moon Academy,Rory Miles,21 hrs and 9 mins
Nights of Silk and Sapphire,Amber Jacobs,13 hrs and 24 mins
Dreamland,Nicholas Sparks,9 hrs and 47 mins
There's Just One Problem...,Brian Gewirtz,9 hrs and 20 mins
Wonder,R. J. Palacio,7 hrs and 10 mins
Fangs Out,"J.N. Chaney,Chris Kennedy",9 hrs and 42 mins
Long Way Down,Jason Reynolds,1 hr and 43 mins
Eversion,Alastair Reynolds,10 hrs and 3 mins
The Other Realm,Heather G. Harris,26 hrs and 23 mins
Perfect Target,Barbara Freethy,10 hrs and 2 mins
"God, Sex, and Your Marriage",Dr. Juli Slattery,4 hrs and 59 mins
The Choice,Nora Roberts,10 hrs
Leading Lightly,Jody Michael,7 hrs and 11 mins
On One Condition,K. Bromberg,8 hrs and 18 mins
How to Steal a Thief,AJ Sherwood,8 hrs and 14 mins
Wolf King,Lindsey Devin,10 hrs and 59 mins
Operation Pineapple Express,Scott Mann,10 hrs and 34 mins
A Little Life,Hanya Yanagihara,32 hrs and 51 mins
The Leadership Challenge Sixth Edition,"James M. Kouzes,Barry Posner",11 hrs and 4 mins
The Big Short,Michael Lewis,9 hrs and 27 mins
Nights of Silk and Sapphire,Amber Jacobs,13 hrs and 24 mins
Bold,Sean Feucht,5 hrs and 54 mins
The Ninth Month,"James Patterson,Richard DiLallo",12 hrs and 11 mins
The Common Sense Way,Pete Blaber,7 hrs and 53 mins
Rains of Liscor,pirateaba,33 hrs and 52 mins
Bad Moon Academy,Rory Miles,21 hrs and 9 mins
Fangs Out,"J.N. Chaney,Chris Kennedy",9 hrs and 42 mins
The Master and Margarita,Mikhail Bulgakov,16 hrs and 52 mins
"Strong Fathers, Strong Daughters",Meg Meeker,7 hrs and 4 mins
Hairy Humanoids,Andy McGrath,11 hrs and 9 mins
Stories of Jedi and Sith,"Roseanne A. Brown,Sarwat Chadda,Alex Segura,Delilah S. Dawson,Karen Strong,Michael Kogge,Michael Moreci,Sam Maggs,Tessa Gratton,Vera Strange",6 hrs and 1 min
Knowing God,J. I. Packer,10 hrs
The Road Less Traveled,M. Scott Peck M.D.,4 hrs and 23 mins
The Exorcist,William Peter Blatty,12 hrs and 51 mins
The Celestine Prophecy,James Redfield,8 hrs and 27 mins
Invisible Man,Ralph Ellison,18 hrs and 36 mins
Life of a Freelancer,G.S. D'Moore,12 hrs
Death and Fromage,Ian Moore,7 hrs and 43 mins
Mage of No Renown,Kel Kade,10 hrs and 30 mins
Lighter,Yung Pueblo,8 hrs
Don't Let Go,Sheryl Wright,9 hrs and 38 mins
The Challenge,Danielle Steel,6 hrs and 48 mins
The Innovator's Dilemma,Clayton M. Christensen,8 hrs and 37 mins
